Policy,Mean Cost,95% CI (+/-)
Policy 0,502.3950000000001,1.9443420320126832
Policy 1,435.21500000000003,0.5418243580477604
Policy 2,410.4200000000001,0.8790701028514705
Policy 3,600.0,0.0
